"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"BAT+";"Bat+";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";
"BAT-";"Bat-";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";
"C1";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C2";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C3";"10uF";"10UF-16V-10%(TANT)";"EIA3216";"CAP-00811";"CAP-00811";"10uF";
"C4";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C5";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C6";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C8";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C9";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C10";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C11";"10nF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C13";"2.2nF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C14";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"D1";"PMEG3005EB";"DIODE-SOD523";"SOD523";"DIODE";"";"";
"D2";"Green";"LED1206-BOTTOM";"LED-1206-BOTTOM";"LEDs";"";"";
"D6";"Green";"LED3MM";"LED3MM";"LED";"";"";
"D7";"Red";"LED3MM";"LED3MM";"LED";"";"";
"FG1";"";"SMD2";"WIREPAD-SMD";"SMD PAD";"";"";
"FG2";"";"SMD2";"WIREPAD-SMD";"SMD PAD";"";"";
"FG3";"";"SMD2";"WIREPAD-SMD";"SMD PAD";"";"";
"FI1";"";"SMD2";"WIREPAD-SMD";"SMD PAD";"";"";
"FI2";"";"SMD2";"WIREPAD-SMD";"SMD PAD";"";"";
"FID1";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID3";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID4";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID5";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID6";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID7";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FID8";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";
"FM1";"";"SMD2";"WIREPAD-SMD";"SMD PAD";"";"";
"FM2";"";"SMD2";"WIREPAD-SMD";"SMD PAD";"";"";
"FT1";"";"SMD2";"WIREPAD-SMD";"SMD PAD";"";"";
"FT2";"";"SMD2";"WIREPAD-SMD";"SMD PAD";"";"";
"GND";"";"WIREPAD-15MIL";"WIREPAD-15MIL";"THROUGH-HOLE PAD";"";"";
"IC1";"MCP73831";"MCP73831";"SOT23-5";"MCP73831 Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controllers";"";"";
"IC2";"AZ1117CH-3.3TRG1";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"VREG-08170";"";
"IC3";"RF22301";"RF22301";"RFD22301";"RFD22301 RFDuino Bluetooth 4.0 Low Energy BLE RF Module";"";"";
"IC4";"MUX-74HC4067SMD";"MUX-74HC4067SMD";"SSOP24";"16-channel analog MUX";"";"";
"IC5";"MPU-6050";"MPU-6050";"QFN.24.4X4";"";"";"";
"JP3";"USB-CON-5PIN-105017-0001";"USB-CON-5PIN-105017-0001";"USB-MICRO-MOLEX-105017-0001";"Molex Micro USB 105017-0001";"";"";
"R1";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";
"R2";"27E";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"R3";"27E";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"R4";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";
"R6";"330E";"RESISTOR-ARRAY0603-ARV";"0603-ARV";"Array Chip Resistor";"";"";
"R7";"150k";"RESISTOR-ARRAY0603-ARV";"0603-ARV";"Array Chip Resistor";"";"";
"R8";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";
"R9";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";
"R10";"150k";"RESISTOR-ARRAY0603-ARV";"0603-ARV";"Array Chip Resistor";"";"";
"RST/";"";"WIREPAD-15MIL";"WIREPAD-15MIL";"THROUGH-HOLE PAD";"";"";
"RX";"";"WIREPAD-15MIL";"WIREPAD-15MIL";"THROUGH-HOLE PAD";"";"";
"S1";"";"SWITCH-SLIDE";"SWITCH-SPDT";"Miniature SPDT switches";"";"";
"TX";"";"WIREPAD-15MIL";"WIREPAD-15MIL";"THROUGH-HOLE PAD";"";"";
"U1";"FTS31XS-U";"FT231XS";"SSOP20_L";"FTDI FT231X Full Speed USB to Full-handshake UART";"IC-11524";"FTS31XS-U";
"VCC";"";"WIREPAD-15MIL";"WIREPAD-15MIL";"THROUGH-HOLE PAD";"";"";
"X1";"SM06B-SRSS-TB";"SM06B-SRSS-TB";"SM06B-SRSS-TB";"Disconnectable Crimp style connector, 1.0mm pitch6 contacts";"";"";
